pais,anio,grupo_edad,sexo,causa,causa_grupo,q_c
Belice,2015,45-49,Hombre,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1.3905661037048135e-4
Belice,2015,45-49,Hombre,X,Enfermedades del sistema respiratorio,3.735627972247589e-4
Belice,2015,45-49,Hombre,XI,Enfermedades del sistema digestivo,0.0011472307952766886
Belice,2015,45-49,Hombre,XII,Enfermedades de la piel y del tejido subcutáneo,3.0571322498570435e-6
Belice,2015,45-49,Hombre,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,5.384943825959451e-5
Belice,2015,45-49,Hombre,XIV,Enfermedades del sistema genitourinario,1.353296301996599e-4
Belice,2015,45-49,Hombre,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",1.2141149270826386e-5
Belice,2015,45-49,Hombre,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",8.844228174528424e-6
Belice,2015,45-49,Hombre,XX,Causas externas de mortalidad,0.0019801797142829755
Belice,2015,45-49,Mujer,I,Enfermedades infecciosas y parasitarias,6.010979633538004e-4
Belice,2015,45-49,Mujer,II,Tumores,0.0015047267485233096
Belice,2015,45-49,Mujer,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,1.4435623782358201e-5
Belice,2015,45-49,Mujer,IV,"Enfermedades endocrinas, nutricionales y metabólicas",2.6265134683688725e-5
Belice,2015,45-49,Mujer,IX,Enfermedades del sistema circulatorio,4.7768409138603023e-4
Belice,2015,45-49,Mujer,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1.4124503313825797e-4
Belice,2015,45-49,Mujer,X,Enfermedades del sistema respiratorio,2.5301907216962395e-4
Belice,2015,45-49,Mujer,XI,Enfermedades del sistema digestivo,2.624030393485155e-4
Belice,2015,45-49,Mujer,XII,Enfermedades de la piel y del tejido subcutáneo,3.5431627618561527e-6
Belice,2015,45-49,Mujer,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.5886208798726444e-5
Belice,2015,45-49,Mujer,XIV,Enfermedades del sistema genitourinario,1.910773385919629e-5
Belice,2015,45-49,Mujer,XV,"Embarazo, parto y puerperio",1.7942925774381626e-5
Belice,2015,45-49,Mujer,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",1.18775110901187e-5
Belice,2015,45-49,Mujer,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",9.164570752921915e-6
Belice,2015,45-49,Mujer,XX,Causas externas de mortalidad,2.032274064877371e-4
